buy,histogram,sell,time,volume
0,-0.20641230854238568,0,955,80025.0
0,-0.20103739906227402,0,1000,80710.0
0,-0.19103667673535585,0,1005,104343.0
0,-0.17719268547708578,0,1010,117231.0
0,-0.15776132501657647,0,1015,148661.0
0,-0.13864215096602994,0,1020,180456.0
0,-0.11708420754007975,0,1025,64449.0
0,-0.09790793353962568,0,1030,58349.0
0,-0.07438540253770087,0,1035,107549.0
0,-0.04556181264576398,0,1040,162523.0
0,-0.023083244270959535,0,1045,125583.0
1,0.00239256581238112,0,1050,135655.0
0,0.022448588159524996,0,1055,125224.0
0,0.04019711218695621,1,1100,56856.0
0,0.05543313796228788,0,1105,27566.0
0,0.06536054909305944,0,1110,79696.0
0,0.07539148312102095,0,1115,114761.0
0,0.0841908004288312,0,1120,57993.0
0,0.10060317146727749,0,1125,140047.0
0,0.11839611396739746,0,1130,258324.0
0,0.13291046273719587,0,1135,61647.0
0,0.1426839781492486,0,1140,40489.0
0,0.14875971024701673,0,1145,59676.0
0,0.15326785363562456,0,1150,84615.0
0,0.14968247231632592,0,1155,83970.0
0,0.14680280032683046,0,1200,70255.0
0,0.14553610305105164,0,1205,67435.0
0,0.1425677320981757,0,1210,55251.0
0,0.14446967506704284,0,1215,53093.0
0,0.14962475248973178,0,1220,78801.0
0,0.15460769533852975,0,1225,55878.0
0,0.1579545827600266,0,1230,30804.0
0,0.15966467123077321,0,1235,46348.0
0,0.1564987330840154,0,1240,36192.0
0,0.15308710841874262,0,1245,29396.0
0,0.1486604612676909,0,1250,56965.0
0,0.1466454308919718,0,1255,34983.0
0,0.14564117816678723,0,1300,4483.0
0,0.1438482738827005,0,1305,23971.0
0,0.14544884375230333,0,1310,56906.0
0,0.1454008668562748,0,1315,29064.0
0,0.14414363021067622,0,1320,20803.0
0,0.1457172951660196,0,1325,25749.0
0,0.14394863074951797,0,1330,16912.0
0,0.14016782937929978,0,1335,19923.0
0,0.1375472180126734,0,1340,28189.0
0,0.13753180128020992,0,1345,20158.0
0,0.1386744322261168,0,1350,29889.0
0,0.1399481584017226,0,1355,45614.0
0,0.14007931439110632,0,1400,58033.0
0,0.14227303938950991,0,1405,17598.0
0,0.149009813269186,0,1410,123593.0
0,0.15868109081117684,0,1415,135570.0
0,0.16502494845483215,0,1420,99845.0
0,0.16970195375434122,0,1425,78383.0
0,0.18225713499258506,0,1430,146342.0
0,0.18688252362298574,0,1435,203241.0
0,0.19532364174669592,0,1440,86970.0
0,0.2030146490790133,0,1445,93607.0
0,0.201029574562128,0,1450,92619.0
0,0.2002235297341739,0,1455,79149.0
0,0.1965241216080058,0,1500,55438.0
0,0.1889633351626382,0,1505,85410.0
0,0.17858942079368822,0,1510,47614.0
0,0.16895488381893675,0,1515,37948.0
