HOME,Acadia,American Samoa,Arches,Badlands,Big Bend,Biscayne,"Black Canyon
of the Gunnison",Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Denali,Dry Tortugas,Everglades,Gates of the Arctic,Gateway Arch,Glacier,Glacier Bay,Grand Canyon,Grand Teton,Great Basin,Great Sand Dunes,"Great Smoky
Mountains","Guadalupe
Mountains",Haleakala,Hawaii Volcanoes,Hot Springs,Indiana  Dunes,Isle Royale,Joshua Tree,Katmai,Kenai Fjords,Kings Canyon,Kobuk Valley,Lake Clark,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,New River Gorge,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,"Theodore
Roosevelt",Virgin Islands,Voyageurs,White Sands,Wind Cave,"Wrangell-
St. Elias",Yellowstone,Yosemite,Zion
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26.16716361111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7.1611925,19.046126388888887,,20.623055555555556,13.268394166666665,22.160646666666665,21.496679722222225,20.147938333333332,24.044010555555555,20.922443611111113,22.11865027777778,20.68918833333333,31.583932222222224,12.692049722222222,32.8372525,4.964162222222222,28.384105833333333,68.62870222222223,24.253055555555555,21.619830833333335,74.10189222222222,4.854504166666667,24.27657111111111,66.369935,26.293819444444445,21.668381111111113,24.82594611111111,18.99802083333333,8.980611388888889,20.97926222222222,,,10.976295555555554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.517416388888889,26.7040625,,23.892617222222224,13.100891944444445,26.69258027777778,31.816623333333332,23.41749777777778,27.313574166666665,24.192011666666666,25.388211666666667,25.22112416666667,35.14425333333333,23.351436666666668,32.587356666666665,15.940391666666669,31.944364166666666,63.97463555555555,34.55246527777778,31.919253333333334,69.44778222222223,13.220928888888889,20.494520277777777,61.71586805555555,29.68972,21.713875833333333,27.670154166666666,22.33031888888889,19.640026111111112,25.511193611111114,,,18.467710555555556,11.146904166666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28.17534722222222,48.52133666666667,,10.518151111111111,21.15385861111111,16.017230833333333,40.19056416666666,12.67154611111111,7.88324,10.817551111111111,9.241123055555555,13.353366944444444,3.6840488888888885,34.67950305555556,14.028953888888887,34.0869075,4.575016388888889,66.52921888888889,42.926428055555554,40.29319888888889,73.3329775,25.887910277777777,20.00360472222222,64.29980027777778,6.250979166666667,14.648459166666667,8.508110277777778,14.203859722222221,32.28777777777778,12.57624888888889,,,23.94320527777778,30.249485555555555,33.64635194444445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58.43588555555555,84.08030388888888,,58.397040000000004,56.496254444444446,71.70042972222222,85.874705,60.550446944444445,58.70111111111111,58.69642805555556,58.30030388888889,67.66001722222222,64.21875,77.40886277777778,53.452217777777776,69.99799472222222,62.676696944444444,6.460793611111111,88.61126722222221,85.97737833333332,16.10605361111111,66.807665,44.7805425,26.30583777777778,63.1342925,53.33628916666667,58.40233083333334,62.048294166666665,73.69733500000001,68.03070305555555,,,69.88582472222222,65.20421888888889,60.54586805555556,64.357435,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.338300833333335,52.33996083333333,,13.681145833333334,24.316811944444446,21.53962027777778,45.11219194444445,15.834535555555556,11.0462825,13.980540277777777,12.404159166666666,18.875854999999998,4.621830555555555,39.075395,9.902058333333335,38.25808166666667,6.844982777777777,62.40209194444444,47.84802944444444,45.214821944444445,67.87552083333334,30.28341361111111,22.472975277777778,60.17267361111111,10.7555175,17.36,11.671155555555556,18.708279166666664,36.68328555555556,18.098744444444446,,,28.33870888888889,33.412439166666665,36.66032111111111,6.229905555555556,,64.91369777777778,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29.197348055555555,51.0649175,,14.285779166666666,22.0504275,26.18838333333333,48.90132805555555,16.43916888888889,12.904575833333332,14.585175833333334,13.624257777777778,23.608700000000002,9.270488333333335,42.66315111111111,5.0328027777777775,36.982725555555554,9.249167777777778,57.53283861111112,51.637170000000005,49.00395833333334,63.00626305555555,30.482300277777778,19.2966125,55.30341583333333,14.543821666666668,14.362296111111112,9.518845555555554,19.79428388888889,38.951718888888884,22.747387222222223,,,32.12704222222222,32.137504444444446,33.78715722222222,11.035118333333333,,60.044444444444444,6.954001111,,,,,,,,,,,,,,,,,,,,,,,,,
12.409246944444444,20.999796111111113,,22.563053333333333,17.893088055555555,20.26119138888889,16.18439138888889,21.689140555555557,25.984043055555553,22.862445833333332,24.058654444444446,19.36278,32.80421444444445,8.421241944444445,36.0763825,6.675028333333333,30.245607777777778,73.87671889,18.92022361111111,16.2870225,79.34971361111111,4.938216111111111,29.524641944444443,71.61807277777778,25.71866527777778,24.907495555555556,26.766000555555554,19.60570527777778,4.709811111111111,19.652853611111112,,,7.694199722222222,5.7757394444444445,16.529055,30.06027138888889,,76.38815972222223,34.550165,,,35.08185111111111,,,,,,,,,,,,,,,,,,,,,,
20.037916666666668,41.00841138888889,,2.462258888888889,14.129052777777776,13.16013888888889,34.56115027777778,3.309477777777778,6.5504075,2.9614933333333333,4.813705,9.2899925,13.20127388888889,28.52438805555556,17.454466111111113,26.68278861111111,10.342070277777777,64.14580305555556,37.297061666666664,34.66377833333333,69.61894972222223,18.499086388888887,16.28884777777778,61.867782222222225,4.858278611111111,10.933596944444444,7.520963055555556,3.9622491666666666,26.132662777777778,9.660647777777779,,,17.788113055555556,22.112005277777776,25.359878333333334,10.317642222222222,,66.65731777777778,14.84545138888889,,,16.45994138888889,23.378919166666666,,,,,,,,,,,,,,,,,,,,,
25.517424166666668,51.11986972222222,,16.20475138888889,19.494509444444443,31.16607,50.96454416666666,18.358135833333336,16.50882916666667,16.504149444444444,16.108014444444443,27.49036666666667,18.515036944444446,43.90510416666667,7.748750555555556,37.078962777777775,17.5003375,49.03512583333334,53.70036888888889,51.06717888888889,54.50855027777777,31.724472777777777,11.81268888888889,46.805703055555554,20.941833888888887,13.680087777777777,14.573051111111111,21.67854388888889,40.19370222222222,27.769730833333334,,,33.94462888888889,32.285468888888886,29.110579444444443,20.27971361111111,,51.546731666666666,16.215622777777778,,,11.332339444444443,36.604401111111116,18.476998611111114,,,,,,,,,,,,,,,,,,,,
15.136435555555554,16.53493277777778,,26.358456944444445,21.069724444444446,25.600019444444445,15.300200833333333,25.484544166666666,29.77944666666667,26.657849444444444,27.854058055555555,24.568313888888888,37.25852444444444,5.584703333333334,39.871727500000006,4.723051666666667,34.119594166666666,76.60399305555555,18.03604388888889,15.402831944444443,82.07701388888889,8.73359,32.25181416666667,74.34519111111112,30.172945,28.702899444444444,30.561404166666666,23.401100277777775,4.7358875,24.85838972222222,,,13.03303388888889,8.502918333333334,19.25624361111111,34.5145725,,79.11546,39.00441416666667,,,38.87721361111112,5.888975277777778,27.086391111111112,40.04232638888889,,,,,,,,,,,,,,,,,,,
25.674529166666666,51.27767361111111,,18.598079444444444,19.65176222222222,33.55939444444444,51.37787333333333,20.751406111111113,18.902178888888887,18.897497777777776,18.501345555555556,29.88369138888889,20.71193361111111,44.318194444444444,9.945698889,37.23605888888889,19.928285555555554,46.60806,54.11408,51.48049472222222,52.08148444444445,32.13686638888889,11.969892499999998,44.378637222222224,23.335160555555554,14.708282222222222,16.966376944444445,24.10655611111111,40.606254444444446,30.163055555555555,,,35.129331666666666,32.44257388888889,29.267684444444445,22.476573333333334,,49.11966583333333,18.41258888888889,,,13.52930111111111,37.01671444444444,20.870273333333333,5.029568611111111,40.31164055555555,,,,,,,,,,,,,,,,,,
27.123142222222224,52.72577694444444,,18.73184888888889,21.10018,33.69316611111111,52.82597666666667,20.885178055555556,19.03592888888889,19.03125,18.635110555555556,30.017463055555556,19.63380638888889,45.76629777777777,8.867458333333333,38.68504333333333,19.42772138888889,48.23831611111111,55.56218305555556,52.92859805555556,53.71174055555556,33.585479722222225,13.418390833333333,46.00889333333333,23.46893222222222,16.156715555555554,17.100143333333335,24.240327777777775,42.05480027777777,30.29682722222222,,,36.506453888888885,33.89118694444444,30.71629777777778,21.398476666666667,,50.749921944444445,17.334373888888887,,,12.451089444444444,38.46570305555555,21.004045,4.101773888888889,41.7602475,4.364875555555556,,,,,,,,,,,,,,,,,
21.853917222222222,41.0678125,,5.243920277777778,16.973887777777776,11.720460000000001,33.263307222222224,6.507617777777778,6.562251111111111,5.743146666666667,6.659537777777778,8.044773888888889,10.19256611111111,27.226545,18.293767222222225,26.74303833333333,7.711560833333333,66.87699666666667,35.9991275,33.36593527777778,72.4009375,18.434952222222222,19.07055777777778,64.64977,3.184619722222222,13.715321111111113,9.043871944444444,7.123013888888888,24.83482,8.279472222222221,,,16.490254999999998,23.293706666666665,27.1757575,7.526226111111112,,69.43930555555555,12.016113333333333,,,15.612243888888889,22.4860525,3.520234722222222,21.291174166666668,27.17994583333333,23.649353333333334,23.80974833333333,,,,,,,,,,,,,,,,
